food_id,food_name,serving_note,energy_kcal_per_100g,protein_g_per_100g,carb_g_per_100g,fat_g_per_100g
63791321,Grilled Chicken Breast,1 breast,195.3,29.55,0.0,7.72
1644,Roasted Broiled or Baked Chicken Breast,100 g,195.0,29.55,0.0,7.72
37040,Almonds,1 almond,583.3,21.67,20.0,50.83
4501,White Rice,1 cup cooked,129.1,2.66,27.9,0.28
36291,Broccoli,1 cup chopped,34.1,2.82,6.64,0.37
2058,Cooked Salmon,"1 medium salmon steak (5/8"" thick)",138.7,23.45,0.0,4.3
3094,Boiled Egg,1 large,154.0,12.52,1.12,10.56
5388,Banana,"1 medium (7"" to 7-7/8"" long)",89.0,1.09,22.84,0.33
33689,Cheddar Cheese,1 slice (1 oz),403.6,24.89,1.29,33.14
3253,Cooked Lentils,100 g,165.0,8.39,18.73,6.76
34212,Olive Oil,1 tbsp,881.5,0.0,0.0,100.0
95067247,Greek Nonfat Yogurt,1 serving,52.9,9.41,3.53,0.0
39715,Oats,100 g,389.0,16.89,66.27,6.9
3384,Peanut Butter,1 tbsp,587.5,25.06,19.56,50.38
5387,Avocado,100 g,160.0,2.0,8.53,14.66
36618,"Sweet Potato (Without Salt, Baked In Skin, Cooked)",100 g,90.0,2.01,20.71,0.15
4743301,Quinoa (Cooked),1 cup cooked,143.1,5.01,26.36,2.22
65577,Firm Tofu,3 oz,82.4,8.24,2.35,4.12
794,Whole Milk,1 cup,59.8,3.22,4.52,3.25
5367,Apple,"1 medium (2-3/4"" dia) (approx 3 per lb)",52.2,0.26,13.81,0.17
